iter	RMSE
0	1105.215914
1	1094.025574
2	1082.22067
3	1071.165
4	1060.863998
5	1051.054031
6	1042.15654
7	1033.860917
8	1025.079172
9	1016.723935
10	1008.970286
11	1001.62775
12	994.6117034
13	987.3092154
14	980.8680508
15	974.4555509
16	968.675956
17	962.6336029
18	957.1747277
19	951.8247834
20	946.8031885
21	942.0366194
22	937.3685783
23	933.0125045
24	928.2640593
25	924.2827596
26	920.4752998
27	916.6662825
28	912.9614692
29	909.6761715
30	906.7024354
31	903.7784478
32	900.7398218
33	898.0459488
34	894.8304544
35	892.1805432
36	889.1877985
37	886.4361356
38	884.2575076
39	881.8575332
40	879.2082755
41	876.7057493
42	874.537514
43	872.1421321
44	869.9083693
45	868.1114381
46	866.0545548
47	864.121885
48	862.1553589
49	860.6911102
50	858.8309748
51	856.8411804
52	855.031243
53	853.0929374
54	851.718627
55	850.0674547
56	848.6286195
57	847.152246
58	845.8541257
59	844.7131301
60	843.795108
61	842.4727216
62	841.5372906
63	840.2179297
64	839.0640615
65	837.7321033
66	836.6074148
67	835.6788709
68	834.6300809
69	833.6788508
70	832.8690203
71	832.0718426
72	831.0531316
73	830.0684279
74	829.1552677
75	827.9951445
76	827.1804497
77	826.3036722
78	825.3564301
79	824.4494743
80	823.6012574
81	822.8306356
82	822.1094762
83	821.6872602
84	820.9098143
85	820.3390383
86	819.7807144
87	819.0505997
88	818.4797863
89	817.8808636
90	817.2468725
91	816.6655313
92	816.0646161
93	815.4056157
94	814.9980092
95	814.3092012
96	813.8720689
97	813.3613481
98	812.8866263
99	812.425076
100	811.9865271
101	811.435125
102	810.9596958
103	810.5272714
104	810.1342419
105	809.5422657
106	808.9854274
107	808.3239162
108	807.997735
109	807.4019489
110	806.8577351
111	806.4678572
112	806.0687327
113	805.8767636
114	805.5063207
115	805.1405273
116	804.6307131
117	804.3169087
118	803.9997432
119	803.5644475
120	803.2251119
121	802.8388567
122	802.4826537
123	802.1703649
124	801.8427673
125	801.5872111
126	801.1141745
127	800.7977071
128	800.4765334
129	800.194739
130	799.6445544
131	799.2103391
132	798.7587846
133	798.3615111
134	797.9907084
135	797.6964803
136	797.5699335
137	797.2436545
138	796.9191767
139	796.6384634
140	796.3899846
141	796.2328127
