iter	Passed	Remaining
0	42	211030
1	76	192195
2	122	203895
3	163	204818
4	200	200546
5	239	199490
6	294	209787
7	349	217843
8	395	219157
9	467	233162
10	514	233296
11	562	233837
12	608	233257
13	657	234148
14	705	234601
15	751	234199
16	800	234742
17	848	234927
18	897	235295
19	943	234869
20	993	235499
21	1047	237065
22	1095	237115
23	1144	237246
24	1192	237212
25	1244	238006
26	1293	238277
27	1339	237834
28	1386	237618
29	1434	237683
30	1472	236072
31	1519	235941
32	1567	235961
33	1621	236905
34	1679	238244
35	1732	238941
36	1780	238862
37	1824	238241
38	1866	237374
39	1913	237230
40	1962	237327
41	2011	237463
42	2064	237949
43	2109	237582
44	2156	237430
45	2205	237541
46	2251	237257
47	2304	237752
48	2350	237522
49	2399	237552
50	2459	238653
51	2504	238268
52	2548	237873
53	2587	237023
54	2632	236652
55	2675	236178
56	2722	236113
57	2773	236307
58	2812	235514
59	2855	235103
60	2899	234785
61	2949	234888
62	2994	234681
63	3037	234294
64	3079	233841
65	3130	234062
66	3185	234521
67	3259	236385
68	3326	237693
69	3382	238222
70	3441	238922
71	3491	238955
72	3539	238908
73	3600	239686
74	3655	240016
75	3708	240285
76	3760	240431
77	3811	240496
78	3871	241147
79	3929	241686
80	3997	242733
81	4063	243717
82	4125	244422
83	4188	245111
84	4245	245465
85	4298	245596
86	4345	245394
87	4394	245269
88	4447	245434
89	4506	245829
90	4552	245575
91	4603	245562
92	4652	245468
93	4700	245336
94	4743	244910
95	4795	244963
96	4846	244986
97	4901	245160
98	4966	245877
99	5037	246825
100	5110	247886
101	5175	248528
102	5243	249279
103	5307	249848
104	5373	250497
105	5448	251534
106	5515	252210
107	5579	252710
108	5672	254528
109	5733	254890
110	5804	255680
111	5888	257008
112	5946	257180
113	6000	257188
114	6066	257702
115	6116	257519
116	6168	257444
117	6227	257635
118	6279	257551
119	6331	257484
120	6385	257465
121	6470	258732
122	6521	258578
123	6575	258580
124	6625	258404
125	6686	258636
126	6736	258483
127	6794	258600
128	6844	258428
129	6885	257948
130	6930	257583
131	6978	257362
132	7030	257278
133	7087	257373
134	7156	257889
135	7211	257919
136	7266	257932
137	7316	257779
138	7381	258149
139	7437	258187
140	7487	258022
141	7510	256936
142	7553	256549
143	7599	256287
144	7640	255828
145	7682	255425
146	7727	255126
147	7781	255097
148	7825	254769
149	7867	254389
150	7911	254046
151	7955	253735
152	8001	253471
153	8042	253074
154	8084	252716
155	8128	252398
156	8181	252390
157	8238	252474
158	8291	252459
159	8344	252410
