,age,disabl,emps,empstab,female_child_married,female_circumcised,female_contraceptives_decision,female_healthcare_decision,female_labour_participation_rate,female_unemployment_rate,female_violence_emotional,female_violence_physical,female_violence_sexual,hlthins,household_size,hrswk,hrswksc,immigr,lit,mart_d,n_other_employed,numwrk,p_middle_class,p_poor_population,secjob,sex,socsec,tenure,totwag,unempdur,yeduc,water_productivity,surface_water_mean,ground_water_mean,supply_demand_ratio,water_supply,water_demand,gdp_pc,rwi_median,precipitation,potentialevapotransporation,drain_length,canal_length,cattle,chicken,goats,sheeps,fraction_small,fraction_medium,fraction_large,arable_km2_scaled,producer_price,rural_population,salinity,corrected_yield_pp,corrected_yield_Alfalfa for forage,corrected_yield_Maize (incl. 0067 and 0068),"corrected_yield_Rice, paddy",corrected_yield_Sugar cane,corrected_yield_Wheat,hectares_Alfalfa for forage,hectares_Maize (incl. 0067 and 0068),"hectares_Rice, paddy",hectares_Sugar cane,hectares_Wheat,arable_km2
age,1.0,,,-0.27824485215782446,-0.071314129142791,-0.008906703303618998,-0.3616664818259712,-0.20031829204030996,-0.3191596379930049,0.03891507119127212,0.2504847004133026,-0.023515615252180343,-0.03901006911480639,-0.10911631640874353,-0.3082427187280329,-0.24390926952806422,,-0.16341060475522734,-0.5146239162619676,-0.4980871084150202,-0.1597563261688553,,-0.026019412783725042,0.026855682572026068,-0.13838020185201777,,-0.11560120255859896,-0.3421093231438948,-0.023209922294972343,,-0.40876472544281517,0.6561408322093323,0.21134780535561826,0.07869201593516938,-0.20430443636919954,0.24834839121041252,0.24770377998784393,-0.2824475503501984,0.5368981508901625,-0.19586722057180248,0.17906711571691988,0.3236080349080989,0.2931303259188859,0.1582294151442853,0.11485246458619734,0.13151363262409704,0.19084114296420568,0.5038267377449579,-0.49420049495808227,-0.2342807250732639,0.5324636726638851,0.27273362084079034,-0.3698927150187583,-0.20729182705578295,0.0561241492560466,0.04812304617909816,-0.10668660702701621,0.3792830554370522,0.6853189716087307,-0.025156845028282377,0.022429794716132528,-0.10821130839592279,0.30036697843439336,0.6849734709786264,-0.03416696261312897,0.22264385959652588
disabl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
emps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
empstab,-0.27824485215782446,,,1.0,0.11897921323075289,0.18469324627116468,-0.02647385086089158,-0.0753593774954782,-0.013906056901814007,0.3536322163595153,-0.24073978908235666,-0.025187204231412363,0.14144808322447067,-0.2861016761771501,0.10613908997349465,0.40154334182726253,,0.28813174282974624,-0.3292877709094917,0.7698273008354022,0.12330441530741482,,-0.23159387822618008,0.22703956210432805,0.10884474033752654,,-0.1572801055652525,0.6432338482927031,-0.35785781516319093,,-0.34482420431840033,-0.5439807524678363,0.07664668976685532,0.3311917834102198,0.43817319399200744,-0.08348490847060835,-0.08648374641972081,0.10096681788600262,0.09304630559083782,-0.3004665651034632,0.24447923862683832,0.3229419327243804,0.48440592212983774,0.3127468958103845,0.4572152313441733,0.2412901884614481,0.18476942406847505,0.3268310723562524,-0.31561384479452176,-0.04509149652235909,-0.3845021269204658,-0.35427640700794694,0.20109809227380193,0.06591743525232535,0.4643942532712731,0.4628370443556475,0.49508725990552904,-0.2501541775825063,-0.6579045370432722,0.34386467088346223,0.48977503259714394,0.5621249263598282,-0.15316847431443972,-0.6641429978846651,0.3485282146188468,-0.392566410661353
female_child_married,-0.071314129142791,,,0.11897921323075289,1.0,0.10370071535976408,0.3296313862298081,0.05204066440765625,-0.062130074093247986,-0.21139792220783957,-0.1319461332226868,0.016414564006527493,-0.1301127342860064,-0.22334918429288106,0.3016857224669397,-0.012961693627087724,,0.11777568145039467,-0.30369894335064485,0.039044183524438426,0.1426060794499632,,-0.3256102940841855,0.3942037018568995,0.01252318071326149,,0.21733991008397868,-0.07470660395780819,-0.2510907194505987,,-0.2201128084622446,-0.14431335541023155,-0.18918591679412033,-0.529051682274346,0.24834142629049996,-0.07742751690432066,-0.09096414795797658,-0.20646865190044575,-0.47391597795233437,-0.1899446327540541,0.23417527046774056,0.2654837054158202,0.07307649151883398,-0.28243071288578553,-0.22896455418222925,-0.05430308565462526,-0.1042770858475131,0.1646818343707454,-0.13155904206102448,0.18259140367600152,-0.24956427086322042,-0.4246928102945972,0.3947558043629001,0.46718549281633365,-0.2510865408823157,-0.2959269446292542,-0.11532474357751804,0.08223423184163182,-0.08782680494122444,0.15429544775567602,-0.21811155914812302,0.10651891995596839,0.0603997371124037,-0.09087719831071872,0.20357556415357175,0.00528650402454046
female_circumcised,-0.008906703303618998,,,0.18469324627116468,0.10370071535976408,1.0,0.03358303377648617,-0.43244099485424914,-0.4391826627961421,0.42432408185715076,0.06605070509999274,0.1964840990013853,0.27714228337711444,-0.13908278967366877,0.5244947572227386,-0.48870834071930774,,0.512432678716805,-0.02720214915437327,-0.353857459737292,0.18636236253332306,,-0.5850539034603087,0.5798405199372145,-0.10010360229908673,,-0.06317914391336928,-0.16103245544804842,-0.3932686448433509,,-0.013152542736616899,0.2764608898128903,0.582488230572789,0.2780322539116967,0.3530721898542123,-0.5607859660204868,-0.5689019934319783,0.10119397223414574,0.011011182871912457,-0.748334021234483,0.8085267572578552,-0.3128943142156578,0.4744687025833882,0.5343844447600115,0.3723374529421616,0.7198126374029247,0.7212028023381418,0.1509394263483273,-0.17637545718598246,-0.31151403064051447,0.325191119945293,-0.6495484435071002,-0.21442799484813016,0.006795745827716818,0.20513451976438646,0.09368388386340254,0.5543649809419828,0.3317878468469889,-0.1541858080842216,0.6200453096691437,0.19586163330608608,0.6043891915921044,0.21398967917700346,-0.15124055849746162,0.6157774528289848,0.37698331256183626
female_contraceptives_decision,-0.3616664818259712,,,-0.02647385086089158,0.3296313862298081,0.03358303377648617,1.0,-0.005596299658910433,0.2360404397190055,-0.28380701956381055,-0.26006685728589213,-0.16450208047647194,-0.2633207768177748,0.20761157682242082,0.30712137635650555,0.017319874835899564,,0.17926457348038943,0.4009882162206077,-0.007382038172098789,0.357643255150217,,0.03680618658539204,-0.016345385334816314,0.31406911399409365,,0.3052174772818119,0.35903035231500124,0.18790413592873176,,0.5193352797462081,-0.330843033284044,-0.17266938487452022,-0.24011422342338898,0.19653544655116592,-0.03428036646124313,-0.022440641444756423,0.6591311550832196,-0.27121108609113315,0.09671623537830355,-0.13508119371742303,-0.2750931671181115,-0.2373507592657161,-0.12165688957592206,-0.1505892499428791,-0.13730033532362867,-0.175397597237763,-0.08602497328204999,0.07528401481339578,-0.08030161119930863,-0.37277230594089333,-0.03510245050556272,0.34744275854511625,0.07884437521947404,-0.05032344295241403,-0.03764754505887157,-0.10832669764963693,-0.08375123804235182,-0.2518406056940238,-0.017613244283767763,-0.02834929670079818,-0.024658572072561624,-0.01966218816966751,-0.25259359154576005,0.0026030681945565953,-0.4084324265748847
female_healthcare_decision,-0.20031829204030996,,,-0.0753593774954782,0.05204066440765625,-0.43244099485424914,-0.005596299658910433,1.0,0.2578687380678842,-0.32870957158949765,-0.3980181143990471,-0.4407704299051566,-0.48712002621447553,0.11572050259238148,-0.21235341809576608,0.6800996739391247,,-0.2656703339832441,-0.11706760788281081,0.26244988146476567,-0.2156552324836542,,0.3808606545833597,-0.3582385141965295,0.35298918523729156,,0.10908713314274703,0.140554097482442,0.2360130350043278,,-0.1084966680352563,-0.11925322887734073,-0.5971319585738907,-0.47915570713828615,-0.3493580255537159,0.3365554697302602,0.33071658713450075,-0.05606829651162672,-0.08706058361713138,0.27690130712585664,-0.45856028988138847,0.4024780646818716,-0.38960356607962193,-0.48206397340100926,-0.2830258741874653,-0.6156379914525226,-0.6318091329240222,-0.10856888418800818,0.06360824957783724,-0.14901219274146368,-0.17349298958888573,0.32002064666341795,0.11911704010068913,0.33783952841895004,-0.3050325474483808,-0.23974465709069137,-0.4676885430604229,-0.08558118433923781,0.0668543678472602,-0.5119534005041292,-0.2504395914036731,-0.41097918845272247,-0.021618156999211338,0.059855096112799655,-0.49425276705447263,-0.343625495831078
female_labour_participation_rate,-0.3191596379930049,,,-0.013906056901814007,-0.062130074093247986,-0.4391826627961421,0.2360404397190055,0.2578687380678842,1.0,-0.24012224155741757,-0.6584224735984352,-0.4331385063223891,-0.4800481732284957,0.10446312349084473,-0.10565926011166307,0.1176270125442583,,-0.2410361089732858,0.1928852618056221,0.20830915947994297,0.20945083961885994,,0.40233545443513385,-0.38173566553425714,0.2284105265410305,,-0.05071227771829798,0.20848747796553974,0.2783576008250152,,0.3109959265987098,-0.35960491116422855,-0.5876465245300425,-0.15217126738575393,-0.01399055981082691,0.03661272689365023,0.043035876836921394,0.4653371634199978,-0.43032083882415645,0.5856357432265709,-0.5625854317021184,-0.07190267313731487,-0.5571489391414912,-0.35789598054847616,-0.3929123099908067,-0.5509593126124932,-0.5409911602039952,-0.4932722848320234,0.5757480871747571,0.6314349766622345,-0.5324228896410456,0.2199705172507199,0.6644389423913469,-0.06616817530534297,-0.35718535636026977,-0.27937107168520336,-0.37105256521179447,-0.29236390713259547,-0.24921856544201276,-0.6290565344079215,-0.37042469270644895,-0.44783498769334745,-0.2248489944843694,-0.2547563396803506,-0.6458580385957491,-0.1645691752178848
female_unemployment_rate,0.03891507119127212,,,0.3536322163595153,-0.21139792220783957,0.42432408185715076,-0.28380701956381055,-0.32870957158949765,-0.24012224155741757,1.0,0.2548266243451308,0.323538862639447,0.31708159607377506,-0.12171069624242259,-0.17627677575243828,-0.08514101392752291,,0.15194108581616536,-0.25147651549141664,0.15779382012858342,-0.38941813409961396,,0.016211365626089637,-0.04090637996019164,-0.39189136627583776,,-0.2105440080364301,0.20078547357478904,-0.09934875244726458,,-0.23448387303041934,0.35776481959606077,0.25897155387959586,0.265172760451664,0.11011087934678977,-0.3520853905932468,-0.34837769475871105,-0.007895750643562412,0.3902704077892381,-0.3653732218485427,0.29508036351074857,0.22761440682553125,0.31393038071085566,0.32113011484583887,0.41428869969500437,0.271867908675643,0.2663808788753007,0.1859352546295149,-0.20991829441067797,-0.2011329032795118,0.17800148745489908,-0.23279883677375784,-0.1757346769905159,-0.04715925304825626,0.07988731048495282,0.046156322846860824,0.27215060719686957,0.10697515335709434,-0.2323214328942118,0.1426077476527591,0.057553899644380416,0.21995885417232774,0.10870915227897546,-0.23125085676378868,0.12063610983550374,0.174384144285862
