gov_NAME1_,water_productivity,surface_water_mean,ground_water_mean,supply_demand_ratio,water_supply,water_demand,gdp_pc,rwi_median,precipitation,potentialevapotransporation,drain_length,canal_length,cattle,chicken,goats,sheeps,fraction_small,fraction_medium,fraction_large,arable_km2_scaled,producer_price,rural_population,salinity,corrected_yield_pp,corrected_yield_Alfalfa for forage,corrected_yield_Maize (incl. 0067 and 0068),"corrected_yield_Rice, paddy",corrected_yield_Sugar cane,corrected_yield_Wheat,hectares_Alfalfa for forage,hectares_Maize (incl. 0067 and 0068),"hectares_Rice, paddy",hectares_Sugar cane,hectares_Wheat,arable_km2
Alexandria,6.032796144226814e-06,0.0006859777820880284,4.898071777270158e-05,79.89607038897682,9877.396615286076,9877.406302080695,9918.256998242543,0.008636239727018923,1261.6006776934432,19549.263053353385,449.1852904539221,476.2954409197662,1.1196359533886266,18.275132522609713,0.8391088935363648,1.5479517903693696,0.5651865792852027,0.38279667647762095,0.03695639710597073,0.4707090866121266,17155647.79931078,120034.66838842937,3.5656032575660794,1581016730.6022952,1180666012.9347825,165122700.6924706,163186466.0900808,2906633.3819950777,305612566.2420068,14550.361739749093,29755.277354637255,21639.223589801062,29.09723163185058,43658.95028830494,595.7995895205789
Assyout,1.702465315012033e-05,0.00290964627959985,0.00012039162821096238,98.24048864280029,8184.749069150909,8192.11839451159,11583.885003437597,0.278889934580492,26.47780376272643,25771.128514701853,427.2329519628817,1445.4852150978684,7.796552976440886,197.92256836112753,9.072310949738897,9.049562716411957,0.9820014532154452,0.012097305399218583,0.0,0.45987066112693487,10627534.92489765,37575.467471001284,2.028775458070565,2602104998.029439,1948209708.076086,513861193.52794755,18489494.259729866,21199680.682356708,630694550.5764633,25123.026680857303,85278.24423987158,2434.770763740738,230.4148216938448,90099.22576785751,675.7464225698037
Aswan,4.521339047998821e-05,0.0012412603534668837,4.216839724003111e-05,59.59500105601329,274.88745047290905,278.2254227567193,9249.390462887452,0.040044798497902656,1.0717777032937357,29267.35309277973,573.4393091732102,668.087607147656,0.5302792054967308,32.186149197018416,0.558293285234526,0.7265743615196567,0.013905926239005384,0.863056020092994,0.0,0.3984565366567848,1546230.06460721,46420.19524810697,3.9140125812645543,539545514.7830193,299396373.22161895,30583026.205819696,155909452.47025648,2103248.435901492,293212665.93132395,4452.390327882416,6065.795824565733,19753.939159797676,20.661012422433984,41887.5294113762,577.5304237045639
Behera,6.609001186803124e-06,0.0007875076918286533,6.158813523877141e-05,58.25661326251401,11825.154088631132,11826.239934396357,11279.321012778686,0.0114727978736611,1126.3115391809847,19962.669275126776,453.76912283630526,565.9422859903251,2.2462465394309796,42.23762907787456,1.2661941642912693,2.100613581450361,0.6242101062831311,0.32512044531923767,0.04248691774718479,0.4744455840694629,16451321.274379112,77391.89968618087,4.339503590282152,1333420268.6750524,1031193374.1720657,126144509.92191745,78394711.18314786,1121496.1111186894,247096354.41240108,12955.919265779516,22284.159833586174,12689.747821971363,11.748118845605282,35299.48657611806,2988.786853459921
Beni-Suef,2.642687496469772e-05,0.001275324900629534,5.601702992683461e-05,93.00218239098726,14465.301578878234,14484.70192959685,12350.508693186544,0.2308477932381673,44.01631108222371,24608.717348145492,635.5976346727961,1140.116617273972,3.3011513102544505,100.0524091590351,3.554320040916539,3.4759015214588604,0.9547913132175047,0.03653140169980022,0.0,0.46372019451878893,28492174.45674525,64649.750258649154,4.261796830618244,3011357069.156909,2307153241.707178,497291884.10540175,61006722.907194614,188405460.55485067,584181361.0205755,29673.454586172782,97545.58325790026,8048.374292821171,1900.1065563411794,83585.2459245178,690.7178469330019
Cairo,2.6341027387407572e-05,0.000920069574105345,4.212375752709303e-05,20.012087606656806,19122.601823851506,19221.6498004141,7227.336632079312,0.18039687257143708,186.00498480558622,23069.964370080972,293.54448731184885,473.53267582325213,1.113308858872149,87.13064593322024,1.1599341249148738,1.583781857844248,0.8659959733011671,0.031067519068830526,0.0011349618458709554,0.4258486989222925,26703831.265654165,21526.27075573671,3.3778408890211153,467834472.01416254,375054395.91139776,51829182.83844994,6.039540615931734,174621521.92147315,61201548.11373489,4656.09107727617,8364.121098030048,40.91415975216993,1845.2022163960603,8743.07966707224,12.671650553361324
Dakahlia,2.338347209836202e-05,0.001046327747093952,4.27969406792749e-05,37.47198440868794,9951.023016182884,10379.847031866244,11106.326211517726,0.2463236974361517,739.5256285637761,20250.464666113316,610.1882276353812,827.6641537189087,1.8501595320314757,88.9075219811778,0.6229641611343338,1.3065088989455687,0.9824508924618621,0.010745968364631629,0.0,0.47644406219752533,29148950.294638563,43391.513041467675,2.9299283740567152,1421055764.8892953,1167360846.9024,50360274.12262784,41779686.51391752,135879728.03582278,176592012.80008715,14534.924972062137,11131.24216328795,4963.934462036122,1419.3398769332327,25326.218608997,1601.6477255079888
Damietta,3.585797694497048e-05,0.0013160605674408575,6.79711984173505e-05,24.92511230530194,72772.42952673297,74608.05410506076,10537.815143163556,0.3772248043271532,864.3006390830895,19035.24781169961,580.5732265330204,830.3470214577401,2.6996333343204904,97.2096808252021,0.5618309534663122,1.1910478830807765,0.991759124103019,0.0023911090062275426,0.0,0.4775869895880272,165541200.9940021,23109.158977380645,2.6280024086723808,1262915908.654734,1060924605.7001977,19030899.07994737,24842457.884340882,365678195.65427965,100781011.98673338,12517.292152112306,4303.679187477511,5571.167376525807,3960.6920763285907,14419.270280912418,258.06965520867954
Fayoum,1.1856005450192599e-05,0.0007538542335366835,2.962505670581942e-07,21.0879163647862,49789.00252780259,49789.038686305496,11607.221453865142,0.08429796266078977,47.4975958858637,23645.969087569567,491.33097645476244,788.4517399267618,3.677670329169547,145.08933470618743,2.130178960029044,2.8625173759376557,0.9765651972703813,7.773488133133861e-05,0.0,0.4606089172283777,21034234.460666478,26111.317314220825,11.052319760567913,972923930.9046435,720908617.043696,6249421.594578291,107493760.38728371,7613552.622044465,276051340.9076123,12467.692343236584,27848.355310187693,20200.52890602359,80.03152733982516,46309.97594101836,749.00140895064
Gharbia,2.0232576729249466e-05,0.0009294906194148364,7.678195328232455e-05,36.619504905198916,34440.56333900879,37067.270104547715,13344.694131487513,0.32246040962258415,606.194489486578,21107.78946948073,516.8025694339465,818.0289139724063,3.6328311153111508,98.36397605939861,1.4741824007359121,2.563343116244482,0.9880818222827686,0.0024321777554406243,0.0,0.4741352053928413,73132978.41886127,36891.16198209128,2.76896723839988,2010923800.8849967,1678784406.61886,114083727.82691456,31332187.33360181,40303566.78197152,188315769.41162154,19805.04056093673,19249.928874689755,3553.857311448145,426.5621961755475,26902.25949513457,944.6488454270205
